Census Tract,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other
26302,72,1,58,1,6,6,9,0,7,0,1,1,5,0,5,0,0,0
26400,70,1,61,1,3,4,10,0,8,0,2,0,2,0,2,0,0,0
26500,60,0,52,0,2,6,6,0,6,0,0,0,4,0,4,0,0,0
26600,88,2,81,0,1,4,9,0,9,0,0,0,1,0,1,0,0,0
26700,83,1,74,1,3,4,10,0,9,0,1,0,2,0,2,0,0,0
26800,70,4,58,1,3,4,10,1,9,0,0,0,1,0,1,0,0,0
26900,25,3,19,1,1,1,4,2,2,0,0,0,1,0,1,0,0,0
27000,25,2,22,0,1,0,3,1,2,0,0,0,1,0,1,0,0,0
27100,23,0,12,7,3,1,5,0,3,2,0,0,0,0,0,0,0,0
27200,67,2,44,5,10,6,8,1,5,0,2,0,2,0,0,0,0,2
27300,113,3,53,21,27,9,13,0,9,1,2,1,4,0,0,1,2,1
27401,43,0,22,5,14,2,9,0,6,1,1,1,1,0,1,0,0,0
27402,119,5,76,6,22,10,16,1,13,0,1,1,5,1,2,0,2,0
27500,66,3,42,8,9,4,6,0,4,0,2,0,1,0,0,0,1,0
27600,56,1,46,0,5,4,7,0,4,0,2,1,1,0,1,0,0,0
27700,76,2,68,0,3,3,10,0,10,0,0,0,3,0,3,0,0,0
27800,65,0,58,0,0,7,11,0,8,0,0,3,2,0,2,0,0,0
27901,69,0,63,1,4,1,6,0,6,0,0,0,4,0,3,0,1,0
27902,17,0,17,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0
28000,79,1,74,0,1,3,13,0,13,0,0,0,1,0,1,0,0,0
28100,47,1,41,0,4,1,8,0,8,0,0,0,3,0,2,0,1,0
28200,74,0,60,3,5,6,12,0,10,0,0,2,2,0,2,0,0,0
28300,118,0,95,9,6,8,16,0,15,0,0,1,5,0,4,0,1,0
28400,78,0,55,3,17,3,13,0,8,1,3,1,5,0,4,1,0,0
28500,61,3,31,3,19,5,6,1,3,0,2,0,2,0,1,0,0,1
28600,140,3,70,13,44,10,16,1,7,0,6,2,15,0,7,1,6,1
28700,53,1,20,0,30,2,9,0,3,0,4,2,5,0,3,0,2,0
28800,101,5,22,3,67,4,14,0,4,0,10,0,5,0,0,0,5,0
28901,89,2,20,6,52,9,5,0,2,0,3,0,6,0,1,0,5,0
28902,119,4,32,2,72,9,12,0,3,1,7,1,2,0,0,0,2,0
29000,112,1,39,14,47,11,8,0,6,2,0,0,7,0,1,0,5,1
29100,92,5,48,10,22,7,9,0,7,1,1,0,7,0,4,0,3,0
29200,72,5,30,1,34,2,7,0,3,0,3,1,5,0,3,0,2,0
29300,54,12,27,1,14,0,12,2,7,0,3,0,5,0,3,0,2,0
29400,79,16,27,3,29,4,9,1,4,0,2,2,4,1,0,0,3,0
29800,74,16,38,0,17,3,7,1,6,0,0,0,4,2,1,0,1,0
29900,112,17,61,0,30,4,18,3,10,0,5,0,6,1,2,0,3,0
30000,157,17,91,2,37,10,16,2,11,0,3,0,11,0,4,0,7,0
30100,111,17,66,0,25,3,14,1,10,0,3,0,7,0,7,0,0,0
30200,122,15,56,3,44,4,12,0,4,1,5,2,8,0,7,0,1,0
30501,83,7,48,9,14,5,13,0,8,2,2,1,2,0,1,0,1,0
30502,90,12,47,4,23,4,8,1,6,0,0,1,1,0,0,0,1,0
30600,83,20,30,3,16,14,14,3,4,0,3,4,2,1,1,0,0,0
30700,50,14,17,3,13,3,2,0,1,0,1,0,0,0,0,0,0,0
30800,80,23,18,18,17,4,5,0,3,0,2,0,4,0,2,0,2,0
30900,71,7,22,10,28,4,2,0,1,0,1,0,1,0,0,0,1,0
31000,100,18,28,16,29,9,9,2,5,0,2,0,2,1,1,0,0,0
31101,83,6,45,2,22,8,9,0,5,0,2,2,4,0,2,0,1,1
31102,84,5,39,5,27,8,5,0,2,0,2,1,3,0,2,0,1,0
31200,75,7,37,3,21,7,8,0,6,0,2,0,2,0,1,0,1,0
31300,131,12,29,22,41,27,15,1,5,3,3,3,3,1,0,0,2,0
31401,128,22,34,25,32,15,13,1,5,3,3,1,3,1,0,1,1,0
31402,94,20,9,25,29,11,8,1,2,1,1,3,0,0,0,0,0,0
31501,88,61,9,5,9,4,5,4,0,0,0,1,2,0,1,0,1,0
31502,47,22,5,5,8,7,1,1,0,0,0,0,1,1,0,0,0,0
31600,85,51,8,10,11,5,7,5,1,0,0,1,1,1,0,0,0,0
31700,86,23,25,5,25,8,8,1,5,0,2,0,5,0,3,0,2,0
31800,60,3,31,1,21,4,3,0,0,0,3,0,3,0,1,0,2,0
31900,76,25,22,3,24,2,7,1,6,0,0,0,3,1,0,0,2,0
32000,81,38,19,4,16,4,7,2,3,0,2,0,2,1,1,0,0,0
32100,58,28,16,0,12,2,5,2,2,0,1,0,2,1,0,0,1,0
32300,59,27,14,1,15,2,4,2,2,0,0,0,2,1,1,0,0,0
32500,97,54,17,4,17,5,12,3,2,1,5,1,3,1,2,0,0,0
32600,109,49,23,5,27,5,8,1,3,0,2,2,3,1,1,0,0,1
32900,62,31,13,5,9,4,6,4,2,0,0,0,2,1,0,0,1,0
33000,131,67,32,4,22,6,11,6,2,0,1,2,3,1,2,0,0,0
33101,80,66,2,3,8,1,5,4,0,0,1,0,0,0,0,0,0,0
33102,58,38,6,0,11,3,3,2,0,0,1,0,3,0,1,0,2,0
33200,39,25,3,7,3,1,3,1,0,2,0,0,0,0,0,0,0,0
33300,39,20,5,6,3,5,4,0,0,2,1,1,0,0,0,0,0,0
33400,74,19,15,16,15,9,8,2,2,2,1,1,0,0,0,0,0,0
33500,44,15,9,7,9,4,8,2,1,2,2,1,1,0,0,0,1,0
33600,112,52,12,14,22,12,7,3,0,3,1,0,1,0,0,0,1,0
33701,72,34,6,11,12,9,7,5,1,0,0,1,0,0,0,0,0,0
33702,55,32,4,8,7,4,6,2,1,0,1,2,0,0,0,0,0,0
33800,99,68,9,5,11,6,11,6,1,0,4,0,0,0,0,0,0,0
33900,41,27,4,3,5,2,3,2,0,1,0,0,1,1,0,0,0,0
34000,34,23,5,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0
