"Resident Birth by Mother's Race/Ethnicity, 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,All Live Births,,,,,,"Births Weighting < 2,500 grams",,,,,,Births to Mothers < 18,,,,,
Census Tract,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other
14300,20,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14400,44,20,8,1,11,4,4,2,0,0,2,0,2,0,0,0,2,0
14500,22,0,15,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
14600,17,2,12,0,2,1,3,0,3,0,0,0,0,0,0,0,0,0
14700,34,1,31,0,1,1,3,0,3,0,0,0,1,0,1,0,0,0
14800,17,1,14,0,2,0,5,0,4,0,1,0,1,0,1,0,0,0
14900,83,2,63,0,8,10,17,1,14,0,2,0,2,0,2,0,0,0
15101,27,0,25,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0
15102,84,0,78,0,3,3,9,0,9,0,0,0,1,0,1,0,0,0
15200,126,0,114,0,5,7,15,0,14,0,0,1,9,0,9,0,0,0
15300,42,2,35,0,3,2,11,0,8,0,2,1,3,0,3,0,0,0
15600,32,2,5,0,22,3,8,1,1,0,4,2,1,0,0,0,1,0
15700,39,7,6,0,22,4,4,2,1,0,1,0,2,0,0,0,2,0
15800,91,76,1,6,6,2,8,5,0,1,1,1,2,2,0,0,0,0
16000,104,84,2,4,8,6,4,2,0,1,0,1,2,2,0,0,0,0
16100,104,41,15,7,34,7,10,2,2,1,5,0,3,1,0,0,2,0
16200,38,2,8,1,27,0,0,0,0,0,0,0,3,0,0,0,3,0
16300,71,3,9,4,50,5,9,1,0,0,8,0,3,0,1,0,2,0
16400,95,1,39,1,50,4,10,0,5,1,2,2,4,0,2,0,2,0
16500,55,5,43,0,6,1,4,0,3,0,1,0,6,0,5,0,1,0
16600,18,1,13,1,3,0,1,0,1,0,0,0,2,0,2,0,0,0
16701,56,0,50,0,3,3,6,0,6,0,0,0,3,0,3,0,0,0
16702,44,1,36,1,2,4,4,0,3,0,0,1,2,0,1,0,1,0
16800,71,1,62,0,4,4,9,0,6,0,2,1,2,0,2,0,0,0
16901,63,2,56,0,3,2,5,0,5,0,0,0,3,0,3,0,0,0
16902,93,0,87,0,4,2,15,0,13,0,1,1,5,0,5,0,0,0
17000,40,5,24,2,5,4,4,0,3,1,0,0,3,0,0,0,2,1
17100,59,0,56,0,3,0,11,0,11,0,0,0,3,0,3,0,0,0
17201,45,0,43,0,0,2,9,0,9,0,0,0,0,0,0,0,0,0
17202,61,3,53,0,0,5,8,0,7,0,0,1,2,0,2,0,0,0
17300,64,2,60,0,1,1,5,0,5,0,0,0,2,0,2,0,0,0
17400,45,1,38,0,4,2,10,0,10,0,0,0,3,0,3,0,0,0
17500,136,1,36,1,94,4,17,0,11,0,5,1,10,0,2,0,7,1
17601,120,4,7,0,107,2,10,1,1,0,8,0,8,0,0,0,8,0
