"Live Birth Events by Mother's Race and Ethnicity, 2008",,,,,,,,,,,,,,,,,,
Census Tract,Number of Live Births,,,,,,"Number of Live Births Weighing < 2,500 grams",,,,,,Number of Live Births to Mothers < 18,,,,,
,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown
,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
15400,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15500,0,46,1,1,20,3,0,9,0,0,0,0,0,3,0,0,3,0
15600,3,5,1,1,25,1,1,1,0,0,2,0,0,0,0,0,3,0
15700,10,3,0,6,25,1,4,1,0,2,2,0,0,0,0,0,2,0
15800,60,3,2,0,1,7,3,2,1,0,0,1,1,0,0,0,0,0
15900,26,1,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0
16000,89,7,2,1,7,4,7,0,0,0,0,0,3,0,0,0,0,0
16100,38,15,16,0,32,4,5,5,2,0,3,1,4,2,1,0,2,0
16200,2,7,1,1,25,2,0,0,0,0,0,1,0,0,0,0,2,0
16300,8,10,2,0,52,3,0,0,0,0,2,0,0,0,0,0,6,0
16400,6,41,2,1,56,5,0,7,2,0,7,0,0,6,0,0,3,1
16500,0,62,0,0,7,1,0,7,0,0,0,1,0,2,0,0,2,0
16600,4,21,0,0,3,1,0,2,0,0,0,1,0,0,0,0,0,0
16700,1,132,0,2,3,3,0,23,0,0,0,0,0,9,0,0,0,0
16800,1,64,1,0,1,8,0,5,0,0,0,2,0,3,0,0,0,0
16901,0,53,0,0,3,4,0,6,0,0,0,2,0,8,0,0,0,0
16902,0,106,0,1,2,7,0,26,0,0,0,0,0,12,0,1,0,0
17000,1,27,0,0,1,1,0,4,0,0,0,0,0,1,0,0,0,0
17100,1,66,1,0,0,3,1,8,0,0,0,0,0,6,0,0,0,0
17200,0,118,0,0,6,4,0,21,0,0,0,0,0,12,0,0,1,0
17300,0,45,1,0,1,6,0,6,0,0,1,0,0,4,0,0,0,0
17400,2,35,0,1,3,2,0,3,0,0,0,0,1,4,0,0,1,0
17500,3,44,1,2,114,9,0,4,1,0,16,2,1,4,0,0,11,5
17601,1,4,0,1,125,5,1,0,0,0,11,0,0,1,0,0,12,0
17602,6,12,0,0,73,5,0,2,0,0,8,2,0,0,0,0,12,1
17700,14,58,5,1,138,13,1,10,1,1,10,3,0,9,0,0,15,1
17800,28,50,5,1,83,11,6,11,0,0,13,2,2,4,0,0,7,1
17900,40,35,1,0,48,6,4,5,0,0,5,0,1,3,0,0,5,1
18000,116,5,0,2,6,2,9,1,0,0,1,0,1,0,0,0,1,0
18100,4,1,1,2,6,1,0,0,0,0,1,0,0,0,0,0,0,0
18200,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18300,53,1,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0
18400,30,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0
18500,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18600,63,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0
18700,17,6,0,0,5,1,2,0,0,0,1,0,1,2,0,0,1,0
18800,34,56,3,1,89,16,4,10,0,0,11,3,1,2,0,0,8,2
18900,7,11,1,0,11,0,0,0,0,0,0,0,1,1,0,0,0,0
19000,19,30,1,8,93,7,1,3,0,3,7,0,2,5,0,1,11,1
19100,22,19,17,8,89,9,1,2,3,0,6,2,1,1,0,0,5,1
19200,20,57,5,0,111,10,2,10,0,0,18,1,2,10,0,0,13,1
19300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19400,0,1,1,0,4,2,0,0,0,0,1,1,0,0,1,0,0,0
19500,6,38,2,1,156,6,0,5,0,0,15,0,0,6,0,0,21,1
19600,1,14,1,0,40,1,0,2,0,0,2,1,0,0,0,0,3,1
19700,2,53,3,2,97,5,0,2,0,0,11,0,0,5,0,0,8,0
19800,2,39,2,0,101,2,0,4,0,0,13,0,0,2,0,0,8,1
19900,3,42,2,0,62,4,0,4,0,0,9,1,0,5,0,0,6,0
20000,1,14,0,0,7,0,0,4,0,0,0,0,0,1,0,0,0,0
20100,1,98,1,0,12,5,0,21,1,0,0,0,0,7,0,0,1,1
20200,0,54,1,1,2,4,0,8,0,0,0,0,0,4,0,0,0,0
20300,3,47,2,0,1,0,1,7,0,0,0,0,0,1,0,0,0,0
20400,0,35,0,1,1,1,0,10,0,0,0,0,0,3,0,0,0,0
20500,0,35,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0
20600,8,4,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
20700,56,6,5,0,5,0,7,2,1,0,0,0,0,0,0,0,0,0
20800,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20900,19,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
21000,37,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21100,29,4,3,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0
21200,21,0,4,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
21300,33,3,2,0,5,3,4,0,0,0,0,1,2,0,0,0,0,0
21400,22,3,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0
21500,31,3,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0
21600,15,3,1,0,5,0,2,1,0,0,4,0,0,0,0,0,0,0
21700,62,8,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0
21800,29,14,7,4,3,1,0,8,0,0,0,0,1,0,0,0,0,0
21900,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22000,8,3,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0
22100,9,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
22200,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22600,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22700,12,2,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
22800,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22900,6,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
23000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23100,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23300,32,17,1,0,3,1,7,1,0,0,0,0,0,1,0,0,0,0
23400,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
23500,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23600,17,7,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
23700,17,46,1,1,4,2,0,7,0,0,0,0,0,9,0,0,1,0
23800,19,33,0,0,1,1,0,5,0,0,0,0,0,2,0,0,0,1
23900,1,10,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0
24000,14,33,0,0,1,3,0,3,0,0,0,1,0,2,0,0,0,0
24100,2,8,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
24200,8,52,0,2,0,2,0,7,0,0,0,0,0,4,0,0,0,0
24300,4,64,0,2,1,4,0,6,0,0,0,1,0,1,0,0,0,1
24400,2,31,0,0,2,3,0,2,0,0,0,0,0,3,0,0,1,0
24500,2,61,0,1,2,4,0,10,0,0,1,0,0,7,0,0,0,0
24600,0,54,0,0,3,2,0,9,0,0,0,0,0,6,0,0,0,0
24700,4,63,1,2,6,2,0,7,1,0,1,2,0,3,0,0,0,1
24800,1,27,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0
24900,0,71,0,1,0,2,0,8,0,1,0,0,0,9,0,0,0,0
25000,0,32,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0
25100,0,14,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0
25200,6,110,1,3,4,1,1,15,0,0,1,0,0,7,0,0,0,0
25300,4,32,0,1,1,2,0,3,0,0,0,0,0,3,0,0,0,1
25400,6,41,2,1,1,2,0,4,1,0,0,1,0,1,0,0,0,0
25500,13,16,1,0,6,2,0,1,0,0,0,0,0,1,0,0,0,0
25600,16,5,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0
25700,24,12,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
25800,0,16,0,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0
25900,0,47,0,1,2,3,0,5,0,1,0,1,0,0,0,0,0,0
26000,0,31,0,0,2,1,0,1,0,0,0,0,0,2,0,0,0,0
26100,1,32,0,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0
26200,1,36,1,0,3,4,0,2,0,0,0,0,0,2,0,0,0,1
26301,0,51,0,2,0,2,0,4,0,2,0,0,0,4,0,0,0,0
26302,1,65,1,0,3,5,0,12,0,0,0,2,0,3,0,0,0,0
26400,0,54,0,2,2,0,0,8,0,0,0,0,0,3,0,0,0,0
26500,1,69,0,1,0,2,0,9,0,0,0,0,0,7,0,0,0,0
26600,0,64,0,2,1,5,0,11,0,0,1,0,0,4,0,0,0,0
26700,1,95,1,3,3,2,0,15,0,0,0,1,0,9,0,0,0,0
26800,3,48,0,1,3,4,0,8,0,0,0,2,0,1,0,0,0,0
26900,0,18,0,1,4,1,0,0,0,0,1,0,0,1,0,0,0,0
27000,2,21,4,1,2,2,1,2,0,0,0,1,0,0,0,0,0,0
27100,0,21,6,1,0,3,0,4,0,0,0,0,0,1,0,0,0,0
27200,0,45,3,2,4,2,0,5,0,0,0,1,0,3,1,0,0,0
27300,2,51,14,8,25,4,1,4,1,1,2,0,1,4,2,0,3,0
27400,5,97,21,9,31,7,0,17,1,2,2,1,0,3,0,2,1,1
27500,1,43,14,3,8,0,0,5,0,0,1,0,0,2,2,1,2,0
27600,1,41,0,0,2,4,0,6,0,0,0,0,0,1,0,0,0,0
27700,0,63,0,0,3,2,0,9,0,0,0,1,0,5,0,0,0,0
27800,1,44,1,2,4,2,0,2,1,0,1,0,0,2,0,0,0,0
27900,1,87,0,0,1,3,0,16,0,0,0,1,0,10,0,0,0,0
28000,2,69,0,1,0,2,0,7,0,0,0,0,0,7,0,0,0,1
28100,1,47,0,0,5,1,0,3,0,0,0,0,0,2,0,0,0,0
28200,0,49,3,1,6,1,0,6,0,0,2,1,0,3,0,0,1,0
28300,2,104,11,7,10,7,0,19,2,1,1,0,0,10,1,1,1,0
28400,1,73,1,0,14,2,0,12,0,0,0,1,0,4,0,0,0,0
28500,2,28,1,0,16,3,0,2,0,0,1,0,0,2,0,0,0,1
28600,3,85,14,5,52,11,0,17,2,1,3,0,0,4,2,0,2,3
28700,0,12,1,0,31,1,0,2,0,0,2,0,0,2,0,0,2,0
28800,6,21,6,6,41,6,0,3,3,0,1,1,1,3,1,0,2,0
28900,17,65,14,12,128,13,3,9,1,1,9,2,0,4,0,0,13,1
29000,2,52,17,4,40,3,0,10,0,0,2,1,0,1,0,0,5,0
29100,4,35,12,1,26,6,1,3,0,0,1,1,0,0,0,0,2,2
29200,3,20,4,2,33,3,0,1,0,1,5,0,0,2,0,0,3,1
29300,14,37,0,1,26,4,2,7,0,0,3,0,1,4,0,0,1,0
29400,8,37,2,0,18,5,1,4,0,0,2,0,1,2,0,0,3,0
29500,10,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
29600,18,2,0,0,8,2,0,0,0,0,1,0,0,0,0,0,3,0
29700,1,2,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0
29800,20,39,0,0,24,3,0,1,0,0,3,0,2,1,0,0,1,0
29900,9,54,1,1,32,3,0,8,0,0,5,0,1,7,0,0,3,0
30000,12,96,3,4,30,5,4,9,2,2,4,0,0,15,0,0,4,0
30100,19,56,1,2,12,5,2,9,0,0,0,0,1,4,0,0,1,1
30200,19,60,2,4,39,8,1,12,0,0,6,0,0,3,0,0,2,0
30300,7,82,1,6,35,6,1,12,0,0,7,0,0,6,0,2,5,1
30400,1,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
30500,29,113,11,13,55,12,2,23,0,1,8,2,2,9,0,0,1,0
30600,23,41,2,5,20,6,2,7,0,0,2,0,1,2,0,0,0,0
30700,30,18,4,1,9,1,3,3,0,0,1,0,1,1,0,0,0,0
30800,23,8,9,4,8,2,2,0,1,0,1,1,0,0,0,0,0,0
30900,11,17,6,5,18,4,0,2,0,0,1,0,0,0,0,0,2,0
31000,29,23,20,7,28,3,3,4,1,0,8,0,0,0,0,0,2,0
31100,21,87,4,4,52,8,2,8,1,0,4,0,0,5,0,0,5,1
31200,9,38,4,2,33,4,0,3,0,0,2,1,0,2,0,0,4,0
31300,17,34,18,3,33,6,2,6,1,0,4,0,0,4,0,0,3,0
31400,69,33,36,7,66,4,5,4,2,0,4,0,3,1,0,0,2,0
31500,118,7,6,5,21,4,8,1,1,1,1,0,4,0,1,0,1,0
31600,49,15,5,1,15,5,2,0,0,0,0,0,2,1,0,0,1,1
31700,35,21,11,5,26,6,1,3,0,2,3,0,0,2,0,0,2,0
31800,15,20,5,2,32,3,0,0,0,2,3,1,0,3,0,0,1,0
31900,35,25,1,0,16,4,4,1,0,0,2,0,0,3,0,0,2,0
32000,63,21,1,1,29,0,3,3,0,0,4,0,3,4,0,0,1,0
32100,23,10,0,4,12,5,1,0,0,1,1,0,0,0,0,0,2,0
32200,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
32300,26,12,2,1,12,2,1,0,0,0,1,0,1,0,0,0,1,0
32500,41,16,3,1,20,6,5,3,1,0,4,2,2,1,0,0,2,0
32600,56,10,3,4,14,0,2,2,0,0,1,0,1,0,0,0,2,0
32700,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
32800,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
32900,42,12,3,0,11,2,4,6,0,0,0,1,4,0,0,0,0,0
33000,78,31,3,1,31,4,5,4,0,1,5,0,3,2,0,0,2,1
33100,130,7,3,4,4,1,3,1,0,1,0,0,2,1,0,0,0,0
33200,30,3,1,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0
33300,23,7,0,5,2,1,3,2,0,0,0,0,0,0,0,0,0,0
33400,24,12,8,1,15,6,1,0,2,0,1,0,0,1,0,0,1,1
33500,27,3,5,4,12,2,2,0,1,0,0,0,0,0,0,0,1,0
33600,58,11,13,4,15,5,5,0,1,0,1,1,0,1,0,0,0,1
33700,79,15,18,6,18,9,7,1,0,0,0,3,0,1,0,0,1,0
33800,53,18,6,2,17,4,4,0,0,0,1,1,0,1,0,0,2,0
33900,29,3,5,1,5,0,1,0,2,0,0,0,1,0,0,0,1,0
34000,23,0,7,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0
