"Resident Births by Mother's Race/Ethnicity, 2010",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,All Live Births,,,,,"Births Weighing < 2,500 grams",,,,,Births to Mothers < 18,,,,
Census Tract,"White, NH","Black, NH","Asian, NH",Hispanic,Other,"White, NH","Black, NH","Asian, NH",Hispanic,Other,"White, NH","Black, NH","Asian, NH",Hispanic,Other
31101,18,50,7,22,10,0,4,1,1,1,0,2,0,1,0
31102,11,47,4,20,13,2,7,0,2,1,0,2,0,0,1
31200,5,44,8,20,4,0,12,1,1,0,0,3,0,0,0
31300,25,30,18,40,8,1,3,4,3,0,0,2,0,1,0
31401,20,30,22,26,13,0,2,2,4,0,2,0,0,0,0
31402,23,15,12,25,9,0,0,0,0,2,1,0,0,2,0
31501,56,2,3,11,4,1,0,0,1,2,0,0,0,0,0
31502,39,7,2,8,5,3,2,1,0,0,0,1,0,0,0
31600,53,8,8,16,3,1,2,1,0,0,2,1,0,1,0
31700,33,39,11,31,5,1,6,2,1,0,0,2,0,0,0
31800,8,25,4,13,4,0,4,0,2,1,0,0,0,0,0
31900,32,24,3,22,9,5,2,0,1,1,1,3,0,1,0
32000,45,25,5,16,5,2,4,1,0,2,2,2,0,0,0
32100,26,9,2,13,2,5,0,0,1,0,1,0,1,1,0
32300,28,21,1,19,2,4,4,0,0,0,0,1,0,1,0
32500,39,21,2,18,4,3,5,1,1,0,0,1,0,0,0
32600,55,26,2,19,7,4,4,0,1,0,2,1,0,0,0
32900,36,13,3,9,8,5,1,0,0,1,0,1,0,1,0
33000,60,25,2,19,5,5,4,0,2,0,2,1,0,0,0
33101,65,6,3,8,1,1,1,0,1,0,3,0,0,0,0
33102,47,1,0,10,1,0,0,0,3,0,1,0,0,0,0
33200,22,1,2,2,2,2,0,0,0,0,0,0,0,0,0
33300,29,8,5,5,2,2,2,0,1,0,0,0,0,0,0
33400,19,14,11,17,7,2,5,0,0,0,0,0,0,0,0
33500,25,15,6,11,13,5,4,1,1,0,0,0,0,0,0
33600,48,13,6,13,7,2,3,0,1,1,0,0,0,0,0
33701,38,5,12,9,10,2,0,0,1,1,0,1,0,0,0
33702,21,5,8,6,5,1,0,3,1,0,0,0,0,1,0
33800,52,5,5,17,6,4,1,1,1,0,1,0,0,0,0
33900,36,2,1,5,3,4,0,0,2,1,0,0,0,1,0
34000,26,3,0,3,4,4,0,0,0,0,1,0,0,1,0
34100,58,3,4,6,4,4,0,0,0,1,0,0,0,0,0
34200,21,2,1,3,0,1,0,0,0,0,0,0,0,0,0
34400,40,3,9,4,3,4,0,0,2,1,0,0,0,0,0
34501,20,6,4,4,5,2,2,0,0,1,1,0,0,0,0
34502,31,16,8,7,5,1,1,0,0,1,0,0,0,0,0
34600,22,24,6,3,7,2,2,0,0,0,0,3,0,0,0
34701,40,5,14,5,5,4,1,0,0,1,1,0,0,0,1
34702,25,8,2,5,4,0,1,0,1,0,0,0,0,0,0
34801,27,4,1,2,3,1,0,0,0,0,0,0,0,0,0
34802,34,13,2,6,2,4,1,0,0,0,1,0,0,0,0
34803,39,5,1,4,1,0,0,0,1,0,0,0,0,0,0
34900,39,25,7,12,4,2,6,1,1,0,1,0,0,1,0
35100,24,3,2,3,0,2,0,0,0,0,0,0,0,0,0
35200,24,1,1,2,0,2,0,0,0,0,1,0,0,0,0
35301,54,2,1,0,2,3,1,1,0,0,0,0,0,0,0
35302,59,2,2,4,3,4,0,0,0,0,0,0,0,0,0
35500,48,5,18,6,3,4,0,3,0,0,0,0,0,0,0
35601,36,1,8,5,4,1,0,1,1,1,0,0,0,0,0
35602,20,4,10,3,2,5,0,3,1,0,0,0,0,1,0
35701,31,6,27,6,9,3,1,6,0,0,0,0,0,1,0
35702,50,0,5,2,2,1,0,0,0,0,0,0,0,0,0
35800,28,2,4,5,1,0,0,1,0,0,0,0,0,0,0
35900,40,5,11,3,2,1,1,0,0,0,0,0,0,0,0
36000,11,1,6,2,2,1,0,0,0,0,0,0,0,0,0
36100,37,14,2,3,3,2,2,0,0,0,0,1,0,0,0
36201,40,2,5,4,4,1,0,2,0,0,0,0,0,0,0
36202,53,5,2,4,1,5,0,1,0,0,1,0,0,0,0
36203,49,1,3,12,2,2,0,2,1,0,0,0,0,0,0
36301,33,0,6,0,3,2,0,0,0,1,2,0,0,0,0
36302,30,16,1,7,2,0,0,0,0,0,0,0,0,0,0
36303,73,0,1,2,1,10,0,0,0,0,1,0,0,0,0
36400,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0
36501,39,6,2,4,1,0,0,0,0,0,1,0,0,0,0
36502,31,0,0,2,0,6,0,0,0,0,0,0,0,0,0
36600,17,1,4,4,2,0,0,1,1,0,0,0,0,0,0
36700,18,4,6,2,3,1,0,0,0,0,0,0,0,0,0
36900,9,3,10,1,1,0,0,0,0,0,0,0,0,0,0
37200,23,2,9,4,6,2,0,0,0,0,2,0,0,0,0
37300,30,3,10,1,2,3,0,1,0,0,0,0,0,0,0
37500,13,16,3,0,1,0,3,1,0,0,0,0,0,0,0
37600,5,7,10,7,2,0,3,1,0,0,0,1,0,0,0
37700,3,42,2,15,4,1,5,1,2,1,0,2,0,0,0
37800,25,2,0,5,2,5,1,0,0,1,1,0,0,1,0
37900,71,1,1,0,4,6,0,0,0,1,2,0,0,0,1
38000,28,6,0,12,3,1,0,0,3,0,1,0,0,1,0
38100,8,6,0,2,2,0,1,0,0,1,0,1,0,0,0
