Census Tract,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown
010800,1,55,2,0,1,6,0,8,0,0,1,0,0,7,0,0,0,0
010900,1,46,0,0,1,5,1,4,0,0,0,1,0,5,0,0,0,0
011000,0,46,0,0,1,2,0,4,0,0,0,0,0,1,0,0,0,0
011100,1,62,1,0,3,0,0,12,0,0,0,0,0,6,0,0,0,0
011200,1,77,2,1,3,6,0,16,0,0,0,1,0,3,0,0,0,0
011300,0,39,1,3,3,1,0,5,0,0,0,0,0,4,0,1,0,0
011400,0,78,1,0,5,2,0,12,0,0,1,1,0,4,0,0,1,0
011500,2,40,0,1,2,3,0,10,0,0,0,1,1,0,0,0,0,1
011600,11,17,3,0,1,0,1,5,0,0,1,0,0,0,0,0,0,0
011700,3,7,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0
011800,0,65,0,3,2,1,0,6,0,0,0,0,0,4,0,0,0,0
011900,1,65,1,2,4,5,0,11,0,1,2,1,0,5,0,0,1,0
012000,1,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
012100,1,16,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
012200,9,20,11,3,3,3,0,0,0,1,1,0,0,0,0,0,0,0
012300,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012400,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
012500,16,3,4,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0
012600,4,4,6,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0
012700,0,5,7,0,4,1,0,0,2,0,0,0,0,0,0,0,1,0
012800,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012900,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
013000,5,6,0,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0
013100,0,29,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0
013200,0,42,0,1,0,3,0,3,0,0,0,1,0,1,0,0,0,0
013300,3,22,1,1,1,2,0,8,0,0,0,1,0,1,0,0,0,0
013400,23,3,4,0,4,2,5,1,0,0,1,0,0,0,0,0,0,0
013500,16,28,2,0,9,2,0,6,1,0,3,0,0,6,0,0,0,1
013600,69,1,9,0,3,0,7,0,1,0,0,0,0,0,0,0,0,0
013700,7,80,2,2,1,4,0,7,0,0,0,2,0,7,0,0,0,0
013800,0,27,0,1,1,0,0,4,0,0,0,0,0,6,0,0,1,0
013900,2,58,1,1,2,0,0,4,0,1,0,0,0,3,0,0,0,0
014000,0,34,0,0,1,1,0,6,0,0,0,1,0,3,0,0,1,0
014100,1,25,0,1,4,1,0,3,0,0,0,0,0,0,0,0,1,0
014200,9,6,1,0,4,0,1,4,0,0,0,0,0,0,0,0,1,0
014300,10,4,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0
014400,5,16,0,6,20,1,0,0,0,0,1,0,1,1,0,0,5,0
014500,0,11,0,2,8,0,0,3,0,0,2,0,0,1,0,0,0,0
014600,0,21,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0
014700,0,23,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0
014800,0,17,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0
014900,2,67,0,2,1,2,1,11,0,0,0,0,0,5,0,0,0,0
015100,1,135,1,0,0,7,0,26,0,0,0,4,1,10,0,0,0,0
015200,0,142,0,0,1,1,0,21,0,0,0,0,0,17,0,0,1,0
015300,0,32,0,0,1,2,0,5,0,0,0,0,0,4,0,0,0,0
015400,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
015500,0,35,0,1,28,2,0,3,0,0,6,0,0,0,0,0,0,0
015600,0,9,0,1,24,0,0,0,0,0,3,0,0,3,0,0,1,0
015700,6,4,1,8,28,2,0,0,0,0,2,0,1,1,0,0,2,0
015800,65,4,4,2,3,1,5,1,0,0,0,1,1,0,1,0,1,0
015900,13,2,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,1
016000,84,3,1,2,6,4,11,1,0,0,1,0,6,0,0,0,0,0
016100,25,11,15,1,52,2,2,4,1,1,3,0,3,0,0,0,8,1
016200,1,11,2,0,35,0,0,0,0,0,4,0,0,2,0,0,0,0
016300,1,9,5,0,40,0,0,1,0,0,4,0,0,2,0,0,3,0
016400,2,49,0,2,59,1,0,4,0,0,3,0,0,6,0,0,4,1
016500,1,61,2,0,4,0,0,8,0,0,0,0,0,5,0,0,0,0
016600,2,13,0,1,2,0,1,2,0,0,0,0,0,1,0,0,1,0
016700,1,91,2,1,4,1,0,16,0,0,0,0,0,10,0,0,0,0
016800,3,55,1,0,1,3,2,15,0,0,1,0,0,6,0,0,0,1
016901,2,64,1,0,3,2,0,12,0,0,1,0,0,10,0,0,1,0
016902,1,94,0,1,4,2,0,11,0,0,2,0,0,8,0,0,1,0
017000,2,21,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
017100,1,50,0,0,2,1,0,1,0,0,0,0,0,6,0,0,0,0
017200,2,113,2,0,2,3,1,11,0,0,0,1,0,8,0,0,0,1
017300,0,46,1,0,1,1,0,5,0,0,0,0,0,3,0,0,0,0
017400,0,45,0,1,0,2,0,5,0,1,0,0,0,3,0,0,0,0
017500,5,31,0,1,108,2,0,9,0,0,13,0,0,5,0,0,13,0
017601,3,8,1,0,127,3,0,0,0,0,17,0,0,1,0,0,19,0
017602,6,13,2,0,79,1,1,1,0,0,8,0,0,1,0,0,9,0
017700,26,71,6,1,148,10,3,16,1,0,13,1,2,7,0,0,20,0
017800,33,38,1,0,85,9,2,6,0,0,9,1,3,2,0,0,8,2
017900,50,20,1,3,52,8,3,2,0,0,3,1,4,2,0,0,3,3
018000,91,2,0,1,11,3,9,0,0,0,0,0,1,0,0,0,0,0
018100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
018200,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
018300,39,0,0,0,0,1,5,0,0,0,0,0,2,0,0,0,0,0
018400,29,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
018500,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
018600,50,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0
018700,15,6,1,1,5,0,2,2,0,0,0,0,1,0,0,0,1,0
018800,44,36,1,2,83,12,7,8,0,0,9,0,2,2,0,0,9,0
018900,2,6,0,0,11,1,1,1,0,0,0,0,1,0,0,0,1,0
019000,23,26,3,3,86,3,1,5,0,0,8,0,3,4,0,0,8,0
019100,22,14,12,4,83,3,4,1,0,0,8,0,3,0,0,0,10,1
019200,20,37,6,4,105,9,1,6,0,1,8,2,1,5,0,0,14,1
019300,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
019400,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0
019500,11,27,1,2,154,7,2,7,0,1,11,3,2,4,0,0,16,0
019600,0,12,0,0,42,1,0,1,0,0,4,0,0,0,0,0,6,0
019700,4,52,4,4,73,3,0,9,0,1,6,1,1,6,0,0,12,1
019800,4,33,3,1,81,2,0,4,0,0,9,0,1,5,0,0,6,0
019900,3,21,1,0,63,2,0,1,1,0,8,0,0,1,0,0,11,0
020000,0,16,3,0,1,0,0,5,0,0,0,0,0,2,0,0,0,0
020100,4,89,0,2,3,3,0,12,0,0,0,0,0,10,0,0,0,0
020200,2,63,0,0,1,0,0,10,0,0,1,0,0,6,0,0,0,0
020300,0,41,1,0,4,1,0,3,0,0,1,0,0,1,0,0,0,0
020400,1,52,0,0,4,1,0,7,0,0,2,0,0,7,0,0,0,1
020500,0,37,0,0,3,1,0,7,0,0,0,0,0,2,0,0,0,1
020600,11,3,4,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0
020700,47,19,3,0,2,2,3,3,0,0,1,2,0,0,0,0,0,0
020800,1,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
