"Live Birth Events by Mother's Race and Ethnicity, 2006",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Census Tract,Number of Live Births,,,,,,"Number of Live Births Weighing < 2,500 grams",,,,,,Number of Live Births to Mothers < 18,,,,,
,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown
18700,19,3,0,0,10,1,2,0,0,0,2,0,1,0,0,0,1,0
18800,47,43,2,0,81,10,3,4,1,0,11,3,3,3,0,0,11,2
18900,9,10,0,0,9,0,1,1,0,0,0,0,0,1,0,0,1,0
19000,25,41,2,5,68,8,2,6,0,2,10,0,2,4,0,0,5,0
19100,14,18,15,4,80,4,1,3,2,0,9,1,0,1,0,0,5,0
19200,24,41,2,2,119,6,3,7,0,0,10,0,1,6,0,0,18,0
19300,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
19400,2,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
19500,9,20,1,2,179,2,1,5,0,0,25,0,1,3,0,0,24,0
19600,1,11,0,0,42,0,0,2,0,0,5,0,0,0,0,0,8,0
19700,7,51,5,0,82,2,4,8,0,0,13,0,0,4,0,0,10,0
19800,2,42,3,0,87,0,0,8,0,0,6,0,0,7,0,0,12,0
19900,1,44,1,2,56,0,0,11,1,0,4,0,0,4,0,0,10,0
20000,0,14,1,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0
20100,4,106,2,2,4,1,0,15,0,1,0,0,0,8,0,0,0,0
20200,0,69,1,0,1,1,0,11,0,0,0,0,0,7,1,0,0,0
20300,2,45,2,0,3,2,0,5,0,0,0,0,0,5,0,0,1,0
20400,1,36,0,0,4,1,0,7,0,0,0,0,0,1,0,0,0,0
20500,0,43,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0
20600,6,4,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
20700,45,13,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20800,6,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
20900,28,0,3,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0
21000,29,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
21100,24,3,1,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0
21200,22,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
21300,29,3,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0
21400,26,3,2,0,2,0,3,1,0,0,0,0,2,0,0,0,0,0
21500,41,2,0,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0
21600,16,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21700,55,9,5,1,1,0,8,1,0,0,0,0,1,0,0,0,0,0
21800,28,11,8,0,4,2,1,1,0,0,0,1,0,1,0,0,0,1
21900,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22000,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22200,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
22300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22400,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22500,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22700,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22800,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
